UID,APPROPRIATENESS,CONTENT_RICHNESS,GRAMMATICAL_CORRECTNESS,RELEVANCE
TEST-000000-0001,4.5,4.0,4.5,5.0
TEST-000001-0001,2.5,2.0,3.5,1.0
TEST-000002-0001,4.5,4.5,5.0,5.0
TEST-000002-0002,3.0,4.333333333333333,4.5,2.0
TEST-000002-0003,3.75,4.333333333333333,4.5,4.5
TEST-000003-0001,3.0,3.75,4.5,3.5
TEST-000004-0001,3.0,1.0,1.0,0.0
TEST-000004-0002,3.5,2.0,4.5,2.0
TEST-000004-0003,4.5,2.0,4.5,3.0
TEST-000004-0004,2.5,4.5,4.5,2.0
TEST-000004-0005,4.75,4.0,4.5,3.0
TEST-000004-0006,3.5,2.0,4.5,2.0
TEST-000004-0007,4.25,4.0,4.5,3.5
TEST-000004-0008,4.25,2.0,4.5,3.0
TEST-000004-0009,4.25,4.0,4.5,3.0
TEST-000004-0010,4.25,2.0,5.0,2.0
TEST-000004-0011,4.8,4.0,4.5,3.5
TEST-000004-0012,2.0,2.0,4.0,1.0
TEST-000004-0013,4.25,2.0,5.0,3.0
TEST-000004-0014,2.5,1.0,2.0,2.0
TEST-000004-0015,4.8,4.0,5.0,4.5
TEST-000004-0016,4.0,1.0,5.0,2.0
TEST-000004-0017,4.5,4.333333333333333,4.5,4.5
TEST-000004-0018,3.0,1.0,1.0,1.0
TEST-000004-0019,2.5,1.0,5.0,1.0
TEST-000004-0020,3.0,1.0,3.0,1.0
TEST-000004-0021,2.5,4.0,2.0,2.0
TEST-000004-0022,2.0,1.0,2.0,1.0
TEST-000004-0023,2.5,2.0,4.5,1.0
TEST-000004-0024,2.0,2.0,2.0,1.0
TEST-000004-0025,3.5,2.0,4.5,1.0
TEST-000004-0026,2.5,1.0,3.5,1.0
TEST-000004-0027,3.5,2.0,4.5,1.0
TEST-000004-0028,2.5,1.0,3.5,1.0
TEST-000004-0029,3.5,2.0,4.5,1.0
TEST-000004-0030,2.5,1.0,4.5,1.0
TEST-000004-0031,3.5,1.0,4.5,1.0
TEST-000004-0032,2.5,1.0,5.0,1.0
TEST-000004-0033,3.5,2.0,4.5,5.0
TEST-000004-0034,2.5,1.0,2.0,1.0
TEST-000004-0035,2.5,2.0,4.5,2.0
TEST-000004-0036,2.5,1.0,5.0,1.0
TEST-000004-0037,3.5,2.0,4.5,3.0
TEST-000004-0038,2.0,1.0,2.0,1.0
TEST-000004-0039,4.25,2.0,4.5,5.0
TEST-000004-0040,2.5,1.0,5.0,1.0
TEST-000004-0041,4.25,2.0,4.5,2.0
TEST-000005-0001,4.0,4.0,4.5,4.5
TEST-000005-0002,3.5,2.5,4.5,2.5
TEST-000005-0003,4.5,3.6666666666666665,4.5,3.6666666666666665
TEST-000006-0001,2.5,4.0,3.5,4.0
TEST-000006-0002,4.75,1.0,0.5,2.0
TEST-000006-0003,1.5,1.0,0.0,0.5
TEST-000007-0001,2.5,1.0,0.5,0.2
TEST-000007-0002,2.5,1.0,0.5,2.0
TEST-000007-0003,2.5,1.0,0.5,2.0
TEST-000007-0004,3.5,3.5,1.0,2.5
TEST-000007-0005,1.0,4.0,5.0,0.0
TEST-000007-0006,2.0,1.0,0.2,2.0
TEST-000007-0007,1.0,4.0,1.0,5.0
TEST-000007-0008,3.5,1.0,0.0,2.0
TEST-000007-0009,2.0,1.0,0.0,4.0
TEST-000007-0010,4.5,4.0,1.0,4.5
TEST-000007-0011,2.0,1.0,0.0,5.0
TEST-000007-0012,4.5,3.5,0.5,4.5
TEST-000007-0013,1.0,1.0,1.0,5.0
TEST-000007-0014,3.5,1.0,0.0,2.5
TEST-000007-0015,1.0,1.0,1.0,4.5
TEST-000007-0016,1.0,4.5,0.0,5.0
TEST-000007-0017,4.5,1.0,1.0,4.0
TEST-000007-0018,3.5,4.5,0.5,4.0
TEST-000007-0019,2.0,4.5,0.5,4.0
TEST-000007-0020,4.25,3.5,0.5,4.5
TEST-000007-0021,1.0,1.0,0.5,5.0
TEST-000007-0022,2.5,1.0,0.0,4.0
TEST-000007-0023,2.5,4.5,0.0,4.0
TEST-000007-0024,2.5,1.0,0.0,4.0
TEST-000007-0025,2.5,1.0,0.0,2.0
TEST-000007-0026,1.0,1.0,0.0,0.0
TEST-000007-0027,2.0,1.0,1.0,5.0
TEST-000007-0028,2.5,3.5,0.0,4.0
TEST-000008-0001,4.5,4.0,4.5,4.0
TEST-000009-0001,2.5,3.0,4.0,5.0
TEST-000010-0001,4.75,3.5,4.5,4.5
TEST-000010-0002,3.0,1.0,3.0,1.0
TEST-000010-0003,4.8,4.0,1.0,4.5
TEST-000010-0004,1.0,4.0,0.5,0.0
TEST-000010-0005,4.5,4.5,0.8,4.5
TEST-000010-0006,1.0,1.0,1.0,5.0
TEST-000010-0007,4.5,4.0,0.6666666666666666,4.5
TEST-000010-0008,3.5,1.0,1.0,4.0
TEST-000010-0009,3.5,3.0,1.0,4.0
TEST-000010-0010,1.0,4.0,0.0,2.0
TEST-000010-0011,4.5,3.5,0.6666666666666666,4.0
TEST-000010-0012,1.5,4.0,0.0,4.0
TEST-000010-0013,4.5,3.0,1.0,4.0
TEST-000010-0014,2.5,3.0,1.0,4.0
TEST-000010-0015,4.5,3.5,1.0,4.0
TEST-000010-0016,2.0,1.0,1.0,0.0
TEST-000010-0017,4.5,3.0,1.0,4.0
TEST-000010-0018,2.0,1.0,1.0,2.0
TEST-000010-0019,4.0,3.5,1.0,4.0
TEST-000011-0001,3.5,3.0,0.5,4.0
TEST-000011-0002,3.5,3.0,0.5,3.0
TEST-000011-0003,3.5,3.0,0.5,3.5
TEST-000011-0004,3.0,3.0,0.5,4.0
TEST-000011-0005,4.5,3.0,0.6666666666666666,4.0
TEST-000011-0006,3.5,3.0,0.6666666666666666,1.0
TEST-000011-0007,2.0,2.0,0.6,3.0
TEST-000011-0008,4.5,3.0,0.6,4.0
TEST-000011-0009,4.0,3.0,0.2,4.0
TEST-000011-0010,3.5,1.0,0.0,1.0
TEST-000011-0011,2.0,1.0,1.0,1.0
TEST-000011-0012,2.0,1.0,1.0,3.0
TEST-000011-0013,4.5,1.0,1.0,5.0
TEST-000011-0014,4.5,3.0,1.0,4.0
TEST-000011-0015,2.0,1.0,1.0,1.0
TEST-000011-0016,2.0,1.0,0.0,1.0
TEST-000011-0017,3.0,1.0,1.0,3.0
TEST-000011-0018,3.5,4.0,1.0,3.0
TEST-000011-0019,1.0,1.0,0.0,1.0
TEST-000011-0020,4.5,3.0,0.6666666666666666,4.0
TEST-000011-0021,1.0,1.0,0.0,1.0
TEST-000011-0022,2.0,1.0,0.0,4.0
TEST-000011-0023,3.5,3.0,0.6666666666666666,3.0
TEST-000011-0024,4.5,3.5,0.6666666666666666,4.5
TEST-000011-0025,2.0,1.0,0.1666666666666666,3.0
TEST-000011-0026,4.5,3.0,0.6666666666666666,4.0
TEST-000011-0027,2.0,4.5,0.0,1.0
TEST-000011-0028,3.0,4.0,0.0,1.0
TEST-000011-0029,1.0,1.0,0.0,1.0
TEST-000011-0030,1.0,1.0,0.0,0.0
TEST-000011-0031,4.5,1.0,1.0,1.0
TEST-000011-0032,2.0,1.0,0.0,1.0
TEST-000011-0033,4.0,4.0,0.6666666666666666,1.0
TEST-000011-0034,3.5,1.0,1.0,4.0
TEST-000012-0001,1.5,4.0,2.5,2.0
TEST-000013-0001,2.5,2.5,3.5,2.0
TEST-000013-0002,4.75,1.0,0.5,2.5
TEST-000013-0003,1.0,1.0,0.0,1.0
TEST-000014-0001,1.0,1.0,2.0,1.0
TEST-000014-0002,4.75,4.0,2.0,3.5
TEST-000014-0003,3.25,4.5,3.5,1.0
TEST-000014-0004,3.5,4.5,3.0,1.0
TEST-000014-0005,2.25,3.5,4.0,1.0
TEST-000014-0006,3.25,4.5,3.0,1.0
TEST-000014-0007,0.25,4.75,3.0,1.0
TEST-000014-0008,3.25,4.75,2.0,1.0
TEST-000014-0009,0.5,4.75,1.0,1.0
TEST-000014-0010,3.5,2.0,3.0,3.0
TEST-000014-0011,2.0,1.0,4.0,4.0
TEST-000014-0012,2.25,4.75,1.0,3.5
TEST-000014-0013,4.5,4.0,1.0,4.0
TEST-000014-0014,3.5,2.0,4.5,2.0
TEST-000014-0015,3.0,1.0,1.0,5.0
TEST-000014-0016,3.0,1.0,1.0,3.0
TEST-000014-0017,1.0,1.0,0.5,1.0
TEST-000014-0018,3.5,4.5,1.0,4.5
TEST-000014-0019,4.0,4.0,1.0,5.0
TEST-000014-0020,2.0,3.0,1.0,3.0
TEST-000014-0021,3.0,4.0,1.0,4.0
TEST-000014-0022,2.0,1.0,0.0,3.0
TEST-000014-0023,1.0,1.0,0.0,1.0
TEST-000014-0024,2.0,4.0,1.0,4.0
TEST-000014-0025,1.5,1.0,0.0,1.0
TEST-000014-0026,1.0,1.0,0.0,1.0
TEST-000014-0027,2.0,1.0,1.0,3.0
TEST-000014-0028,2.5,4.0,0.5,3.6666666666666665
TEST-000014-0029,3.0,1.0,1.0,4.0
TEST-000014-0030,2.5,3.5,1.0,2.0
TEST-000014-0031,1.0,1.0,0.0,1.0
TEST-000014-0032,2.0,3.0,1.0,4.0
TEST-000014-0033,2.0,1.0,1.0,1.0
TEST-000014-0034,2.0,1.0,0.6666666666666666,3.0
TEST-000015-0001,3.5,4.25,4.5,3.0
TEST-000015-0002,2.0,2.0,1.25,1.0
TEST-000016-0001,3.5,1.0,3.0,1.0
TEST-000016-0002,3.5,2.0,4.5,2.0
TEST-000016-0003,2.5,4.5,4.5,1.0
TEST-000016-0004,2.5,2.0,4.0,1.0
TEST-000016-0005,3.5,3.0,4.5,2.0
TEST-000016-0006,1.0,2.0,2.0,1.0
TEST-000016-0007,1.0,2.0,2.0,1.0
TEST-000016-0008,1.0,1.0,4.5,1.0
TEST-000016-0009,2.0,2.0,2.0,4.0
TEST-000016-0010,3.5,4.0,4.0,4.5
TEST-000016-0011,2.0,4.5,4.5,4.5
TEST-000016-0012,3.5,4.5,4.0,4.5
TEST-000016-0013,2.0,4.5,2.0,2.0
TEST-000016-0014,1.5,1.0,3.0,1.0
TEST-000016-0015,2.5,4.5,4.0,4.5
TEST-000016-0016,1.0,1.0,2.0,1.0
TEST-000016-0017,2.0,1.0,2.0,1.0
TEST-000016-0018,1.0,1.0,2.0,1.0
TEST-000016-0019,3.5,1.0,2.5,4.0
TEST-000016-0020,1.75,4.333333333333333,2.5,1.0
TEST-000016-0021,2.0,2.0,2.0,1.0
TEST-000016-0022,2.0,1.0,2.0,1.0
TEST-000016-0023,2.0,1.0,2.0,1.0
TEST-000016-0024,1.0,1.0,2.0,1.0
TEST-000016-0025,2.0,2.0,4.0,4.0
TEST-000016-0026,2.5,4.0,4.0,4.0
TEST-000017-0001,5.0,4.5,4.75,4.5
TEST-000017-0002,3.5,3.0,4.5,1.0
TEST-000017-0003,4.8,4.333333333333333,4.75,4.5
TEST-000017-0004,2.0,3.0,3.5,1.0
TEST-000017-0005,4.8,4.666666666666667,4.75,4.5
TEST-000017-0006,1.0,1.0,0.0,1.0
TEST-000017-0007,2.5,4.0,5.0,1.0
TEST-000017-0008,1.5,4.666666666666667,3.0,1.0
TEST-000017-0009,2.5,4.0,4.0,4.0
TEST-000017-0010,1.0,1.0,3.0,1.0
TEST-000017-0011,4.5,4.0,4.5,4.0
TEST-000017-0012,3.5,2.0,2.0,4.0
TEST-000017-0013,5.0,4.0,4.5,5.0
TEST-000017-0014,1.0,1.0,3.5,4.0
TEST-000017-0015,4.25,4.0,4.5,4.0
TEST-000017-0016,1.0,2.0,3.0,1.0
TEST-000017-0017,4.25,3.0,4.0,3.0
TEST-000017-0018,3.0,2.6666666666666665,4.0,4.0
TEST-000017-0019,5.0,4.0,4.5,4.0
TEST-000017-0020,3.0,1.0,1.0,1.0
TEST-000017-0021,4.25,3.0,4.5,4.0
TEST-000017-0022,1.0,1.0,3.0,1.0
TEST-000017-0023,2.5,2.0,4.0,4.0
TEST-000017-0024,1.0,1.0,3.0,1.0
TEST-000017-0025,3.5,4.0,4.5,4.0
TEST-000017-0026,2.5,4.0,3.0,1.0
TEST-000017-0027,4.5,4.0,4.5,4.0
TEST-000017-0028,1.0,1.0,0.0,1.0
TEST-000017-0029,4.25,4.0,4.5,4.0
TEST-000017-0030,2.5,1.0,3.5,4.0
TEST-000017-0031,4.5,4.666666666666667,4.5,4.5
TEST-000017-0032,2.0,1.0,5.0,1.0
TEST-000017-0033,3.5,1.0,5.0,4.0
TEST-000017-0034,1.0,1.0,5.0,1.0
TEST-000017-0035,2.5,1.0,5.0,1.0
TEST-000017-0036,5.0,1.0,5.0,5.0
TEST-000017-0037,3.5,1.0,5.0,1.0
TEST-000017-0038,5.0,1.0,5.0,5.0
TEST-000017-0039,5.0,1.0,5.0,5.0
TEST-000018-0001,4.5,4.5,4.5,5.0
TEST-000018-0002,1.5,1.0,3.5,2.0
TEST-000018-0003,3.5,3.6666666666666665,4.75,4.666666666666667
TEST-000018-0004,4.5,1.0,4.0,4.0
TEST-000018-0005,4.5,4.5,4.75,4.666666666666667
TEST-000018-0006,1.0,1.0,1.0,1.0
TEST-000018-0007,4.5,4.0,4.75,4.5
TEST-000018-0008,1.0,2.0,4.0,1.0
TEST-000018-0009,4.75,4.5,4.5,4.666666666666667
TEST-000018-0010,1.0,1.0,0.0,1.0
TEST-000018-0011,4.75,4.5,5.0,5.0
TEST-000018-0012,1.0,2.0,3.0,1.0
TEST-000018-0013,4.75,4.5,4.5,4.666666666666667
TEST-000018-0014,3.0,4.0,3.0,1.0
TEST-000018-0015,4.5,4.0,5.0,5.0
TEST-000018-0016,4.5,4.0,5.0,5.0
TEST-000018-0017,4.5,4.0,4.5,4.5
TEST-000018-0018,1.0,2.0,0.0,1.0
TEST-000018-0019,3.5,4.0,4.5,4.5
TEST-000018-0020,2.5,1.0,3.0,5.0
TEST-000018-0021,4.75,4.5,4.5,5.0
TEST-000018-0022,1.0,2.0,4.5,1.0
TEST-000018-0023,3.5,4.5,4.5,2.0
TEST-000018-0024,1.0,2.0,0.0,1.0
TEST-000018-0025,4.5,4.0,4.5,4.5
TEST-000018-0026,3.0,1.0,0.0,1.0
TEST-000018-0027,3.5,4.0,4.5,2.5
TEST-000018-0028,1.0,2.0,4.5,1.0
TEST-000018-0029,4.5,4.0,4.5,5.0
TEST-000018-0030,1.0,1.0,0.0,1.0
TEST-000018-0031,4.5,4.5,4.5,4.5
TEST-000019-0001,1.5,3.5,3.5,1.0
TEST-000020-0001,2.25,3.5,3.5,1.0
TEST-000020-0002,4.75,4.0,4.5,2.5
TEST-000020-0003,3.5,4.5,4.5,3.0
TEST-000020-0004,4.75,4.75,4.5,3.5
TEST-000020-0005,4.75,4.75,4.5,3.0
TEST-000020-0006,3.5,4.0,0.6666666666666666,4.0
TEST-000020-0007,2.5,3.5,0.5,2.0
TEST-000020-0008,3.5,3.5,0.6666666666666666,3.0
TEST-000020-0009,2.0,2.5,0.5,3.0
TEST-000020-0010,3.5,3.0,0.6666666666666666,3.0
TEST-000020-0011,1.0,1.0,0.0,0.0
TEST-000020-0012,3.5,2.0,0.6666666666666666,2.0
TEST-000021-0001,3.5,1.0,3.0,1.0
TEST-000022-0001,1.0,1.0,3.0,0.0
TEST-000023-0001,3.0,1.0,0.0,1.0
TEST-000024-0001,4.5,4.25,4.5,4.5
TEST-000025-0001,1.0,1.0,1.0,1.0
TEST-000026-0001,4.5,2.5,4.0,2.0
TEST-000027-0001,2.5,3.5,0.5,3.0
TEST-000027-0002,4.5,3.5,0.6666666666666666,3.0
TEST-000027-0003,4.5,4.0,4.5,4.0
TEST-000028-0001,3.5,4.0,5.0,4.5
TEST-000028-0002,1.0,1.0,1.0,1.0
TEST-000028-0003,4.5,4.0,4.5,2.5
TEST-000028-0004,1.0,1.0,0.0,1.0
TEST-000028-0005,4.5,4.0,4.5,1.0
TEST-000028-0006,1.0,0.0,0.0,3.0
TEST-000028-0007,4.0,2.0,4.5,1.0
TEST-000028-0008,1.0,1.0,1.0,1.0
TEST-000028-0009,4.8,4.333333333333333,4.5,2.0
TEST-000029-0001,2.5,1.0,0.5,0.0
TEST-000029-0002,2.75,3.0,0.5,0.5
TEST-000029-0003,1.5,1.0,0.5,0.0
TEST-000030-0001,1.0,1.0,5.0,5.0
TEST-000031-0001,4.5,1.0,5.0,5.0
TEST-000032-0001,2.5,3.0,0.5,3.0
TEST-000032-0002,4.5,3.5,0.6666666666666666,3.0
TEST-000032-0003,4.5,3.5,1.0,4.0
TEST-000033-0001,4.5,4.0,4.5,4.5
TEST-000034-0001,3.0,1.0,0.0,1.0
TEST-000035-0001,4.5,4.0,3.5,3.0
TEST-000036-0001,3.5,3.0,4.5,4.0
TEST-000037-0001,1.0,4.0,1.0,1.0
TEST-000037-0002,3.75,4.0,1.0,4.0
TEST-000037-0003,3.75,3.5,1.0,3.0
TEST-000038-0001,3.5,4.0,4.0,4.5
TEST-000038-0002,1.5,3.333333333333333,0.9,2.5
TEST-000038-0003,2.5,1.0,0.0,0.5
TEST-000039-0001,3.25,4.5,4.5,3.5
TEST-000039-0002,2.25,4.75,4.0,3.5
TEST-000039-0003,3.25,3.5,0.6666666666666666,4.0
TEST-000040-0001,1.0,1.0,1.0,1.0
TEST-000040-0002,4.25,4.75,4.5,4.5
TEST-000040-0003,3.25,4.75,3.5,3.5
TEST-000040-0004,3.25,4.5,3.5,4.5
TEST-000040-0005,3.25,4.5,3.5,4.0
TEST-000040-0006,3.25,3.75,3.5,4.5
TEST-000040-0007,0.5,1.0,1.0,1.0
TEST-000040-0008,2.25,3.75,3.0,1.0
TEST-000040-0009,2.5,4.5,3.5,1.0
TEST-000040-0010,3.25,3.75,3.5,3.5
TEST-000040-0011,3.5,2.5,3.5,2.0
TEST-000040-0012,3.5,4.75,3.0,4.5
TEST-000040-0013,3.5,2.5,3.5,2.0
TEST-000040-0014,1.0,1.0,0.0,1.0
TEST-000041-0001,4.0,2.0,2.5,5.0
TEST-000041-0002,4.5,4.0,4.5,5.0
TEST-000041-0003,1.0,1.0,1.0,1.0
TEST-000041-0004,2.5,3.75,3.5,2.5
TEST-000041-0005,1.0,2.0,2.5,1.0
TEST-000041-0006,3.5,1.0,4.5,4.5
TEST-000041-0007,4.25,3.5,3.5,4.5
TEST-000041-0008,1.0,2.0,3.0,4.0
TEST-000041-0009,1.5,2.5,2.0,1.0
TEST-000041-0010,4.25,2.5,4.25,4.5
TEST-000041-0011,1.0,1.0,0.0,5.0
TEST-000041-0012,4.25,3.5,4.0,1.0
TEST-000041-0013,1.5,3.5,0.0,2.0
TEST-000041-0014,4.25,3.5,0.6666666666666666,4.5
TEST-000041-0015,1.5,1.0,0.0,1.0
TEST-000041-0016,2.5,1.0,1.0,5.0
TEST-000041-0017,3.0,1.0,0.0,4.0
TEST-000041-0018,4.5,1.0,1.0,4.0
TEST-000041-0019,2.0,1.0,0.0,1.0
TEST-000041-0020,3.5,3.5,0.0,2.0
TEST-000041-0021,2.5,1.0,0.0,2.0
TEST-000041-0022,3.5,1.0,1.0,2.0
TEST-000041-0023,2.0,1.0,0.0,1.0
TEST-000041-0024,1.0,1.0,0.0,1.0
TEST-000041-0025,3.5,1.0,1.0,5.0
TEST-000041-0026,4.25,4.5,0.6666666666666666,4.0
TEST-000041-0027,3.5,1.0,1.0,4.0
TEST-000041-0028,4.25,3.0,0.6666666666666666,4.166666666666667
TEST-000041-0029,2.5,3.0,0.0,4.0
TEST-000041-0030,1.0,1.0,0.0,0.0
TEST-000041-0031,2.5,1.0,0.0,2.0
TEST-000041-0032,1.0,1.0,0.0,1.0
TEST-000041-0033,1.0,1.0,0.0,1.0
TEST-000041-0034,2.5,1.0,0.0,1.0
TEST-000041-0035,2.5,1.0,0.0,1.0
TEST-000041-0036,1.0,1.0,0.0,1.0
TEST-000041-0037,1.0,5.0,1.0,1.0
TEST-000041-0038,2.5,4.5,0.0,2.0
TEST-000041-0039,2.5,4.0,0.5,4.0
TEST-000041-0040,4.25,3.0,0.0,4.0
TEST-000041-0041,1.0,1.0,0.0,1.0
TEST-000041-0042,3.5,4.0,0.6666666666666666,4.0
TEST-000041-0043,2.5,4.0,1.0,4.0
TEST-000041-0044,2.5,1.0,1.0,1.0
TEST-000041-0045,3.5,4.5,0.6666666666666666,4.0
TEST-000041-0046,2.5,1.0,0.0,4.0
TEST-000041-0047,1.0,1.0,0.0,1.0
TEST-000041-0048,1.0,1.0,0.0,5.0
TEST-000041-0049,2.5,4.0,0.0,2.0
TEST-000041-0050,3.5,1.0,0.0,1.0
TEST-000042-0001,4.5,4.5,4.5,4.5
TEST-000042-0002,4.5,4.5,2.0,1.0
TEST-000042-0003,4.25,4.5,4.5,1.0
TEST-000042-0004,4.5,3.5,4.5,1.0
TEST-000042-0005,4.5,3.5,2.5,2.0
TEST-000042-0006,2.0,1.0,2.0,1.0
TEST-000042-0007,4.25,2.0,4.0,2.0
TEST-000042-0008,2.0,2.0,5.0,2.0
TEST-000042-0009,2.5,2.0,3.5,3.0
TEST-000042-0010,1.0,1.0,2.0,1.0
TEST-000042-0011,4.25,2.0,4.5,2.0
TEST-000042-0012,4.5,2.0,4.5,2.0
TEST-000042-0013,4.5,4.0,4.5,3.0
TEST-000042-0014,4.5,4.0,4.5,2.0
TEST-000042-0015,4.5,4.0,4.5,3.5
TEST-000042-0016,3.0,4.0,3.0,1.0
TEST-000042-0017,4.5,2.0,5.0,3.5
TEST-000042-0018,2.0,2.0,5.0,1.0
TEST-000042-0019,4.5,4.0,5.0,3.0
TEST-000042-0020,4.25,2.0,4.5,3.0
TEST-000042-0021,4.25,2.0,4.5,2.0
TEST-000042-0022,2.0,4.5,2.0,0.0
TEST-000042-0023,4.25,4.0,4.5,1.0
TEST-000042-0024,2.5,4.0,4.5,1.0
TEST-000042-0025,4.25,4.0,4.5,3.0
TEST-000042-0026,1.0,2.0,5.0,2.0
TEST-000042-0027,3.5,4.0,4.5,2.0
TEST-000042-0028,3.5,2.0,4.5,2.0
TEST-000042-0029,3.5,4.0,5.0,4.5
TEST-000043-0001,3.5,3.25,4.5,3.0
TEST-000043-0002,4.0,4.25,4.5,3.0
TEST-000043-0003,4.5,3.5,1.0,4.5
TEST-000043-0004,1.0,1.0,0.0,0.0
TEST-000043-0005,3.5,4.5,4.5,4.5
TEST-000043-0006,1.0,1.0,0.0,1.0
TEST-000043-0007,2.5,3.5,0.0,4.5
TEST-000043-0008,2.0,1.0,0.0,4.0
TEST-000043-0009,4.5,3.5,1.0,4.5
TEST-000043-0010,2.0,1.0,0.0,1.0
TEST-000043-0011,4.5,3.5,1.0,4.0
TEST-000043-0012,3.0,4.0,0.5,4.0
TEST-000043-0013,4.5,4.0,1.0,4.5
TEST-000043-0014,1.0,2.5,5.0,1.0
TEST-000043-0015,4.5,3.5,1.0,4.0
TEST-000043-0016,1.0,1.0,0.0,0.0
TEST-000043-0017,3.5,3.5,1.0,4.0
TEST-000043-0018,3.0,1.0,0.0,4.5
TEST-000043-0019,4.5,4.0,1.0,4.5
TEST-000043-0020,3.0,3.5,1.0,4.0
TEST-000043-0021,4.5,4.5,1.0,4.5
TEST-000043-0022,2.0,3.5,0.0,4.5
TEST-000043-0023,4.5,3.5,1.0,4.0
TEST-000043-0024,1.0,1.0,1.0,2.0
TEST-000043-0025,4.5,4.0,1.0,4.5
TEST-000043-0026,3.0,1.0,0.0,2.0
TEST-000043-0027,4.5,3.5,1.0,4.5
TEST-000043-0028,2.0,1.0,1.0,4.5
TEST-000043-0029,3.5,3.5,0.6666666666666666,4.5
TEST-000043-0030,2.0,1.0,0.0,3.0
TEST-000043-0031,4.5,3.0,1.0,4.0
TEST-000043-0032,2.0,1.0,0.0,1.0
